Date,Zone_1_field1_ET,Zone_1_field1_rainfall,Zone_2_field1_ET,Zone_2_field1_rainfall,Zone_3_field1_ET,Zone_3_field1_rainfall,Zone_4_field1_ET,Zone_4_field1_rainfall,Zone_5_field1_ET,Zone_5_field1_rainfall,Zone_6_field1_ET,Zone_6_field1_rainfall,Zone_7_field1_ET,Zone_7_field1_rainfall,Zone_8_field1_ET,Zone_8_field1_rainfall,Zone_9_field1_ET,Zone_9_field1_rainfall,Zone_10_field1_ET,Zone_10_field1_rainfall,Zone_11_field1_ET,Zone_11_field1_rainfall,Zone_12_field1_ET,Zone_12_field1_rainfall
1981-02-19,3.879573345,6.58E-05,3.847020006,5.99E-05,3.738170568,1.30E-06,3.713549972,0,3.558533351,0,3.5079,0,3.581583381,0,3.356933395,0,3.382200003,0,3.413084206,0,3.280999899,0,3.737629986,0
1981-02-20,5.519993305,1.47E-06,5.515120029,1.72E-06,5.616076469,5.64E-06,5.610049963,8.45E-06,5.630966822,1.39E-05,5.62169981,1.40E-05,5.647399902,1.03E-05,5.601116578,1.49E-05,5.647700071,1.59E-05,5.553468403,1.27E-05,5.53399992,1.28E-05,5.606749964,6.27E-06
1981-02-21,4.609973367,0.025358846,4.605400085,0.035572195,4.743794049,0.919156547,4.702749968,1.7957412,4.668466727,4.329238335,4.71570015,4.382621288,4.772916635,2.428145369,4.744216681,5.84346954,4.72995019,5.73845911,4.748626307,5.061004338,4.745800018,4.925217628,4.864080048,1.273639628
1981-02-22,5.385686684,3.626221418,5.38696003,3.825277376,5.562476467,3.381395038,5.621249914,7.080245018,5.650033474,4.755301793,5.678999901,5.564129829,5.647716681,0.896615952,5.67868336,2.434023599,5.679199934,2.981921196,5.679768362,2.774623005,5.707600117,1.778465271,5.646659994,0.936566532
1981-02-23,5.744080003,0.000158173,5.73944006,0,5.830029432,2.17E-05,5.794850111,0,5.83523337,0,5.825500011,0,5.877666712,0,5.873099963,0,5.854199886,0,5.865105253,0,5.910999775,0,5.863569975,5.67E-05
1981-02-24,5.839379978,6.25E-06,5.845640087,5.52E-06,5.897417658,7.98E-07,5.884299994,5.36E-07,5.893466632,2.44E-07,5.911399841,2.64E-07,5.953066667,1.98E-07,5.970750014,1.26E-07,5.961050034,1.58E-07,5.964752599,1.05E-07,5.975299835,7.21E-08,5.976990032,2.15E-07
1981-02-25,5.453853321,7.04E-06,5.489220047,5.89E-06,5.545047087,1.33E-06,5.447099924,2.02E-06,5.464733283,1.06E-06,5.472899914,1.22E-06,5.491066615,3.82E-07,5.486816645,5.53E-07,5.473350048,6.98E-07,5.495689367,4.88E-07,5.500199795,3.73E-07,5.514340019,2.14E-07
1981-02-26,5.524300003,1.38E-05,5.531900024,1.27E-05,5.539411769,7.59E-06,5.535149813,1.23E-05,5.544066588,1.05E-05,5.53429985,1.14E-05,5.542883317,5.71E-06,5.538066626,8.44E-06,5.547700167,9.23E-06,5.523273694,8.64E-06,5.533100128,8.74E-06,5.541650009,3.49E-06
1981-02-27,5.801366711,3.53E-06,5.806140041,3.29E-06,5.848841218,2.89E-07,5.828850031,1.10E-07,5.848999977,4.71E-08,5.858200073,4.77E-08,5.882816633,5.42E-08,5.878100077,2.37E-08,5.873349905,2.96E-08,5.873500021,1.98E-08,5.887599945,1.76E-08,5.875369978,6.23E-08
1981-02-28,4.927926668,3.78E-05,4.962520027,3.37E-05,4.889011748,1.29E-05,4.828049898,6.68E-06,4.809700012,4.48E-06,4.798500061,4.63E-06,4.828250011,4.95E-06,4.832649946,3.05E-06,4.798799992,3.26E-06,4.949184167,3.97E-06,4.939199924,2.44E-06,4.943809986,6.32E-06
1981-03-01,5.113840008,0,5.072439957,0,5.110129412,0,5.180999994,0,5.189766725,0,5.272399902,0,5.141600053,0,5.269800027,0,5.304450035,0,5.267642096,0,5.33589983,0,5.065980053,0
1981-03-02,4.706433296,2.882804163,4.706380081,2.855029535,4.754858802,1.773894051,4.900200129,3.265783787,4.908799966,2.362967094,4.924900055,2.702265739,4.865466595,0.725687628,4.921383381,1.416930397,4.92565012,1.78160423,4.910957863,1.061167479,4.925600052,0.868555546,4.825790024,0.326512328
1981-03-03,4.106900056,0.042193321,4.10213995,0.029103906,4.228741225,0.003526839,4.229449987,0.00943782,4.331433296,0,4.375400066,0,4.370800018,0,4.393066724,0,4.375999928,0,4.420152664,0,4.401599884,0,4.388790035,0
1981-03-04,3.850120004,0,3.867240047,0.001418828,3.994558811,0,3.882849932,0,3.983166774,0.004565999,3.894099951,0.004782472,4.053966681,6.54E-06,4.054750045,0.008922218,4.042900085,0.006827395,4.044347336,0.014119609,4.054699898,0.006408039,4.079969978,0.000280944
1981-03-05,4.009006723,2.98E-05,4.039539909,0,4.121288215,0,4.10890007,0,4.150866826,0,4.108399868,0,4.272300005,0,4.238083283,4.06E-06,4.234350204,0,4.259189455,0.000176788,4.279900074,0.000286965,4.267289972,1.62E-06
1981-03-06,4.674820105,0.040456487,4.679419994,0.039992692,4.680511727,0.038127079,4.691550016,0.004550872,4.679966609,3.10E-05,4.679100037,0,4.676350037,0.001303475,4.668166637,0,4.680099964,0,4.663599943,0,4.656400204,0,4.684539938,0.004002701
1981-03-07,4.803379981,0.232172126,4.808699989,0.230424637,4.804970573,0.22925719,4.854499817,0.02705981,4.89956665,0.000965988,4.881499767,0,4.794316689,0.011953266,4.930283308,0,4.921649933,0,4.898678905,0,4.961599827,0,4.811580038,0.033459155
1981-03-08,4.244973373,0.000805319,4.279720116,0.000705204,4.329399978,0.000161119,4.352299929,6.04E-05,4.369000117,3.70E-05,4.349299908,3.53E-05,4.378683329,5.39E-05,4.40685002,2.60E-05,4.406899929,2.79E-05,4.401931562,2.68E-05,4.406799793,2.75E-05,4.366359997,5.63E-05
1981-03-09,3.858166711,0.233585385,3.840360022,0.216622278,3.985464727,0.280963563,4.039799929,0.128991075,4.052833239,0.122252428,4.03579998,0.092217237,4.057150046,0.270822883,4.130149921,0.094016713,4.061049938,0.103952982,4.147900004,0.075090997,4.085599899,0.088976197,4.004460001,0.222021619
1981-03-10,3.628326654,0.499361459,3.667160034,0.547190338,3.825094167,0.682209236,3.721699953,0.701994449,3.809633255,0.772899568,3.84190011,0.742506564,3.967583338,0.926722536,3.932399948,0.79232493,3.86435008,0.80661276,3.952668454,0.696885947,4.008100033,0.756616116,4.004659986,0.777499247
1981-03-11,3.907126649,0.033057986,3.930559969,0.033152751,4.053982314,0.038927462,4.009449959,0.001502137,4.059333324,0,4.009399891,0,4.180083354,0.002075375,4.172749996,0,4.168900013,0,4.170821014,0,4.180500031,0,4.198640013,0.006003337
1981-03-12,4.183300018,0.000407833,4.173800087,0.000341065,4.26994119,0.000119435,4.25094986,4.86E-05,4.259533405,0,4.250899792,0,4.298349937,3.52E-06,4.283083359,0,4.263749838,0,4.287552633,1.66E-07,4.298799992,0,4.301060009,4.51E-05
1981-03-13,3.575519975,0.001307394,3.589260006,0.001020407,3.66229997,0.000359256,3.648699999,0.00035114,3.713566621,0.000240564,3.712800026,0.000261186,3.71419998,0.0001513,3.714100003,0.000170903,3.71389997,0.000190464,3.726773664,0.000172043,3.714600086,0.000161577,3.714389968,0.000128637
1981-03-14,3.346933333,0.00207844,3.369740009,0.002328255,3.483523551,0.002012719,3.394649982,0.002559685,3.444733302,0.00220055,3.415800095,0.002367878,3.544966698,0.001326646,3.537550012,0.002083948,3.52275002,0.002094891,3.522336847,0.002394237,3.545300007,0.002298154,3.55165,0.000896219
1981-03-15,3.930593316,0.000873537,3.952019978,0.000815021,4.05484107,0.000295627,4.025099993,0.000164387,4.046966553,0,4.025300026,0,4.086316665,0,4.064783255,0,4.04734993,0,4.072142074,0,4.069200039,0,4.103509998,1.88E-05
1981-03-16,3.683093325,1.83E-05,3.656659937,1.77E-05,3.830117646,8.12E-06,3.822849989,4.04E-06,3.838066657,3.26E-06,3.844500065,3.20E-06,3.888766686,3.89E-06,3.949749986,3.45E-06,3.90565002,3.34E-06,3.976915774,3.80E-06,3.989300013,4.16E-06,3.939120007,3.44E-06
1981-03-17,3.377026669,9.28E-05,3.386320019,7.76E-05,3.338370576,1.32E-05,3.338549972,1.70E-05,3.337200006,8.80E-06,3.338500023,9.91E-06,3.357850035,3.52E-06,3.352983316,4.84E-06,3.34800005,6.07E-06,3.351994753,3.95E-06,3.357199907,3.63E-06,3.35255003,1.82E-06
1981-03-18,4.157886712,1.16E-06,4.140939999,9.69E-07,4.22986471,1.41E-07,4.190150023,2.15E-07,4.216900031,1.07E-07,4.217199802,1.23E-07,4.275433302,3.35E-08,4.254633268,5.67E-08,4.24180007,7.15E-08,4.258299978,4.88E-08,4.268000126,4.09E-08,4.292740011,1.55E-08
1981-03-19,3.896179994,2.93E-07,3.896420002,2.51E-07,4.015511751,2.12E-07,3.97089994,4.03E-08,4.004033407,2.48E-08,3.996299982,2.02E-08,4.057516654,1.02E-07,4.07131664,1.85E-08,4.03970015,1.71E-08,4.097078926,2.89E-08,4.083000183,2.41E-08,4.084639931,1.85E-07
1981-03-20,3.085079988,0.030096803,3.09224,0.026358162,3.273294098,0.00261412,3.25030005,0,3.35710001,0,3.35649991,0,3.366000017,0,3.42111667,0,3.357499957,0,3.469084225,0.000240276,3.50090003,0.00014135,3.432840037,2.19E-05
